Site,Plot,Treatment,Individual,T0,T006,T012,T018,T024,T030,T036,T042,T048,T054,T060,T066,T072,T078,T084,T090,T096,T102,T108,T120,Trecruit,Tdeath,Species,Family,Life Form
CAR,1,open,D8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,42,48,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,D8',0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,48,alive,Piper sp.,Piperaceae,herb
CAR,1,open,D9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA,72,108,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,D10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,78,96,Mollinedia cf.,Monimiaceae,tree
CAR,1,open,D11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,78,alive,Philodendron sp.,Araceae,herb
CAR,1,open,D12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,78,108,Casearia cf.,Salicaceae,tree
CAR,1,open,D13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,84,108,Psychotria sp.,Rubiaceae,indeterminate
CAR,1,open,D14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,108,alive,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,H1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Euterpe edulis,Arecaceae,palm
CAR,1,open,H2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,36,Euterpe edulis,Arecaceae,palm
CAR,1,open,H3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,30,Guarea macrophylla,Meliaceae,tree
CAR,1,open,H4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Euterpe edulis,Arecaceae,palm
CAR,1,open,H5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Chionanthus filiformis,Oleaceae,tree
CAR,1,open,H6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Araceae sp.,Araceae,herb
CAR,1,open,H7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,30,Sloanea guianensis,Elaeocarpaceae,tree
CAR,1,open,H8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,0,66,Eugenia sp.,Myrtaceae,tree
CAR,1,open,H9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,30,Mollinedia schottiana,Monimiaceae,tree
CAR,1,open,H10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,H11,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,24,alive,Goeppertia sp.,Marantaceae,herb
CAR,1,open,H12,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,24,alive,Goeppertia sp.,Marantaceae,herb
CAR,1,open,H13,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,24,alive,Guarea macrophylla,Meliaceae,tree
CAR,1,open,H14,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,NA,30,72,Eugenia sp.,Myrtaceae,tree
CAR,1,open,H15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30,36,Euterpe edulis,Arecaceae,palm
CAR,1,open,H16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,30,42,Euterpe edulis,Arecaceae,palm
CAR,1,open,H17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,48,alive,Goeppertia sp.,Marantaceae,herb
CAR,1,open,H18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,60,66,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,H19,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NA,66,alive,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,H20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,78,84,Diploon cuspidatum,Sapotaceae,tree
CAR,1,open,H21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,78,108,Guarea macrophylla,Meliaceae,tree
CAR,1,open,H22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,78,96,Guarea macrophylla,Meliaceae,tree
CAR,1,open,H23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,96,alive,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,H25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,108,alive,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Goeppertia sp.,Marantaceae,herb
CAR,1,closed,C2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,36,Polypodiaceae sp. 1,Polypodiaceae,herb
CAR,1,closed,C3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Guapira opposita,Nyctaginaceae,tree
CAR,1,closed,C4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,C5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,30,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,C6,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,18,48,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,36,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C8,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,18,66,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,30,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,C10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,24,alive,Philodendron sp.,Araceae,herb
CAR,1,closed,C11,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,30,54,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C12,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,30,108,Eugenia sp.,Myrtaceae,tree
CAR,1,closed,C13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,36,alive,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,48,60,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,NA,48,84,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,48,alive,Myrsine cf. umbellata,Primulaceae,tree
CAR,1,closed,C17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,54,60,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,60,alive,Euterpe edulis,Arecaceae,palm
CAR,1,closed,C19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,60,72,Paullinia sp.,Sapindaceae,liana
CAR,1,closed,C20,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,60,78,Paullinia sp.,Sapindaceae,liana
CAR,1,closed,C21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA,60,84,Mollinedia cf.,Monimiaceae,tree
CAR,1,closed,C22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,66,72,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,C23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,72,84,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,C24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,72,96,Doliocarpus sp.,Dilleniaceae,shrub
CAR,1,closed,C25,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,24,alive,Euterpe edulis,Arecaceae,palm
CAR,1,closed,D1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Euterpe edulis,Arecaceae,palm
CAR,1,closed,D2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Araceae sp.,Araceae,herb
CAR,1,closed,D3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Araceae sp.,Araceae,herb
CAR,1,closed,D4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Apocynaceae sp.,Apocynaceae,liana
CAR,1,closed,D5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,30,Myrcia spectabilis,Myrtaceae,tree
CAR,1,closed,D6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6,12,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,D7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,30,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,D8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,18,84,Euterpe edulis,Arecaceae,palm
CAR,1,closed,D9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,36,Euterpe edulis,Arecaceae,palm
CAR,1,closed,D11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,24,30,Euterpe edulis,Arecaceae,palm
CAR,1,closed,D12,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,24,alive,Astrocaryum aculeatissimum,Arecaceae,palm
CAR,1,closed,D13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,24,30,Euterpe edulis,Arecaceae,palm
CAR,1,closed,D14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30,36,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,D15,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,36,66,Eugenia cf.,Myrtaceae,tree
CAR,1,closed,D16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,42,48,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,D17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,NA,48,108,Euterpe edulis,Arecaceae,palm
CAR,1,closed,D18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,48,54,Euterpe edulis,Arecaceae,palm
CAR,1,closed,D19,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,54,72,Indeterminate sp.,Indeterminate,liana
CAR,1,closed,D20,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA,60,96,Paullinia sp.,Sapindaceae,liana
CAR,1,closed,D21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,72,84,Myrtaceae cf.,Myrtaceae cf.,indeterminate
CAR,1,closed,D22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,96,alive,Rubiaceae sp.,Rubiaceae,indeterminate
CAR,1,closed,D23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,96,108,Sloanea cf.,Elaeocarpaceae,tree
CAR,1,closed,D24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,108,alive,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,H1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,18,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Araceae sp.,Araceae,herb
CAR,1,closed,H3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,30,Araceae sp.,Araceae,herb
CAR,1,closed,H4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Eugenia cuprea,Myrtaceae,tree
CAR,1,closed,H5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Marlierea strigipes,Myrtaceae,tree
CAR,1,closed,H6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Sloanea guianensis,Elaeocarpaceae,tree
CAR,1,closed,H7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Mollinedia schottiana,Monimiaceae,tree
CAR,1,closed,H8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Philodendron sp.,Araceae,herb
CAR,1,closed,H9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Chionanthus filiformis,Oleaceae,tree
CAR,1,closed,H10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Araceae sp.,Araceae,herb
CAR,1,closed,H11,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,30,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,H12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,H13,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,18,54,Philodendron sp.,Araceae,herb
CAR,1,closed,H14,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,36,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H15,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,42,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H16,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,18,66,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H17,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,36,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H18,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,42,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,24,30,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H20,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,24,alive,Ocotea cf.,Lauraceae,tree
CAR,1,closed,H21,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,24,48,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H23,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,24,42,Mollinedia schottiana,Monimiaceae,tree
CAR,1,closed,H24,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,24,66,Mollinedia schottiana,Monimiaceae,tree
CAR,1,closed,H25,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,24,42,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H26,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,24,alive,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H27,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,24,108,Philodendron sp.,Araceae,herb
CAR,1,closed,H28,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,30,66,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H29,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,42,54,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,H31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,48,54,Euterpe edulis,Arecaceae,palm
CAR,1,closed,H32,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA,54,78,Paullinia/Serjania sp.,Sapindaceae,liana
CAR,1,closed,H33,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,54,alive,Mollinedia cf.,Monimiaceae,tree
CAR,1,closed,H34,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,54,alive,Psychotria cf.,Rubiaceae,indeterminate
CAR,1,closed,H35,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,54,alive,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,H36,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,60,alive,Rubiaceae cf.,Rubiaceae cf.,indeterminate
CAR,1,closed,H37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,66,72,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,closed,H38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,84,alive,Mollinedia cf.,Monimiaceae,tree
CAR,1,closed,H39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,96,alive,Sloanea cf.,Elaeocarpaceae,tree
CAR,1,closed,H40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,96,alive,Sloanea cf.,Elaeocarpaceae,tree
CAR,2,open,C1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Eugenia cuprea,Myrtaceae,tree
CAR,2,open,C2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,36,Euterpe edulis,Arecaceae,palm
CAR,2,open,C3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Guatteria australis,Annonaceae,tree
CAR,2,open,C4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate
CAR,2,open,C5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,36,Rubiaceae sp. 1,Rubiaceae,indeterminate
CAR,2,open,C6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate
CAR,2,open,C7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,42,Strychnos trinervis,Loganiaceae,liana
CAR,2,open,C8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Indeterminate sp.,Indeterminate,indeterminate
CAR,2,open,C9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,24,Rubiaceae sp. 1,Rubiaceae,indeterminate
CAR,2,open,C10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,24,Rubiaceae sp. 1,Rubiaceae,indeterminate
CAR,2,open,C11,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,0,60,Piper sp.,Piperaceae,herb
CAR,2,open,C12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Psychotria nuda,Rubiaceae,shrub
CAR,2,open,C13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Psychotria nuda,Rubiaceae,shrub
CAR,2,open,C14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate
CAR,2,open,C15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Psychotria nuda,Rubiaceae,shrub
CAR,2,open,C16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Matayba guianensis,Sapindaceae,tree
CAR,2,open,C17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,54,Psychotria nuda,Rubiaceae,shrub
CAR,2,open,C18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Psychotria nuda,Rubiaceae,shrub
CAR,2,open,C19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Rubiaceae sp. 1,Rubiaceae,indeterminate
CAR,2,open,C20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Psychotria nuda,Rubiaceae,shrub
CAR,2,open,C21,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,36,Myrcia spectabilis,Myrtaceae,tree
CAR,2,open,C22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate
CAR,2,open,C23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Myrcia spectabilis,Myrtaceae,tree
CAR,2,open,C24,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,36,Psychotria nuda,Rubiaceae,shrub
CAR,2,open,C25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,24,Rubiaceae sp. 1,Rubiaceae,indeterminate
CAR,2,open,C26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,0,78,Ouratea parviflora,Ochnaceae,shrub
CAR,2,open,C27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Chionanthus filiformis,Oleaceae,tree
CAR,2,open,C28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate
